"CITY","Date","Log.Trips","time_since_treatment","month","season","Total_Injuries","treatment"
"EVERETT",2010-04-01,0,0,4,2,5,0
"EVERETT",2010-05-01,0,0,5,2,16,0
"EVERETT",2010-06-01,0,0,6,3,10,0
"EVERETT",2010-07-01,0,0,7,3,11,0
"EVERETT",2010-08-01,0,0,8,3,20,0
"EVERETT",2010-09-01,0,0,9,4,21,0
"EVERETT",2010-10-01,0,0,10,4,19,0
"EVERETT",2010-11-01,0,0,11,1,5,0
"EVERETT",2010-12-01,0,0,12,1,21,0
"EVERETT",2011-01-01,0,0,1,1,6,0
"EVERETT",2011-02-01,0,0,2,1,10,0
"EVERETT",2011-03-01,0,0,3,1,8,0
"EVERETT",2011-04-01,0,0,4,2,6,0
"EVERETT",2011-05-01,0,0,5,2,16,0
"EVERETT",2011-06-01,0,0,6,3,5,0
"EVERETT",2011-07-01,0,0,7,3,11,0
"EVERETT",2011-08-01,0,0,8,3,8,0
"EVERETT",2011-09-01,0,0,9,4,22,0
"EVERETT",2011-10-01,0,0,10,4,15,0
"EVERETT",2011-11-01,0,0,11,1,17,0
"EVERETT",2011-12-01,0,0,12,1,17,0
"EVERETT",2012-01-01,0,0,1,1,11,0
"EVERETT",2012-02-01,0,0,2,1,11,0
"EVERETT",2012-03-01,0,0,3,1,22,0
"EVERETT",2012-04-01,0,0,4,2,4,0
"EVERETT",2012-05-01,0,0,5,2,18,0
"EVERETT",2012-06-01,0,0,6,3,12,0
"EVERETT",2012-07-01,0,0,7,3,9,0
"EVERETT",2012-08-01,0,0,8,3,16,0
"EVERETT",2012-09-01,0,0,9,4,8,0
"EVERETT",2012-10-01,0,0,10,4,9,0
"EVERETT",2012-11-01,0,0,11,1,12,0
"EVERETT",2012-12-01,0,0,12,1,18,0
"EVERETT",2013-01-01,0,0,1,1,14,0
"EVERETT",2013-02-01,0,0,2,1,13,0
"EVERETT",2013-03-01,0,0,3,1,12,0
"EVERETT",2013-04-01,0,0,4,2,13,0
"EVERETT",2013-05-01,0,0,5,2,10,0
"EVERETT",2013-06-01,0,0,6,3,18,0
"EVERETT",2013-07-01,0,0,7,3,15,0
"EVERETT",2013-08-01,0,0,8,3,19,0
"EVERETT",2013-09-01,0,0,9,4,18,0
"EVERETT",2013-10-01,0,0,10,4,17,0
